StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID76,QID77,QID78,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,SC0,SC1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Experimenter:,Study Name:,Subject ID #:,"Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye.

The exact contour of face, head, shoulders, and body.","Characteristic poses of head, attitudes of body, etc.","The precise carriage, length of step, etc., in walking.",The different colors worn in some familiar clothes.,"Visualize a rising sun. Consider carefully the picture that comes before your mind’s eye. 

The sun is rising above the horizon into a hazy sky.",The sky clears and surrounds the sun with blueness.,"Clouds. A storm blows up, with flashes of lightning.",A rainbow appears.,"Think of the front of a shop which you often go to. Consider the picture that comes before your mind’s eye. 

The overall appearance of the shop from the opposite side of the road.","A window display including colors, shapes and details of individual items for sale.","You are near the entrance. The color, shape and details of the door.",You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,"Think of a country scene which involves trees, mountains and a lake. Consider the picture that comes before your mind’s eye. 

The contours of the landscape.",The color and shape of the trees.,The color and shape of the lake.,A strong wind blows on the trees and on the lake causing waves.,"Think of being driven in a fast-moving car by a relative or friend along a major highway. Consider the picture that comes into your mind’s eye. 

You observe the heavy traffic traveling at maximum speed around your car. The overall appearance of vehicles, their colors, sizes and shapes.",Your car accelerates to overtake the traffic directly in front of you. You see and urgent expression on the face of the driver and the people in the other vehicles as you pass.,A large truck is flashing its headlight directly behind. Your car quickly moves over to let the truck pass. The driver signals with a friendly wave.,You see a broken-down vehicle beside the road. Its lights are flashing. The driver is looking concerned and she is using a mobile phone.,"Think of the beach by the ocean on a warm summer’s day. Consider the picture that comes before your mind’s eye. 

The overall appearance and color of the water, surf, and sky.",Bathers are swimming and splashing about in the water. Some are playing with a brightly colored beach ball.,An ocean liner crosses the horizon. It leaves a trail of smoke in the blue sky.,"A beautiful air balloon appears with four people aboard. The balloon drifts past you, almost directly overhead. The passengers wave and smile. You wave and smile back at them.","Think of a railway station. Consider the picture that comes before your mind’s eye.

The overall appearance of the station viewed from in front of the main entrance.","You walk into the station. The color, shape and details of the entrance hall.","You approach the ticket office, go to a vacant counter and purchase your ticket.",You walk to the platform and observe other passengers and the railway lines. A train arrives. You climb aboard.,"Think of a garden with lawns, bushes, flowers and shrubs. Consider the picture that comes before your mind’s eye. 

The overall appearance and design of the garden.",The color and shape of the bushes and shrubs.,The color and appearance of the flowers.,Some birds fly down onto the lawn and start pecking for food.,VVIQ2,VVIQ1
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID80""}","{""ImportId"":""QID82""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID8""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID104""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID15""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID22""}","{""ImportId"":""QID97""}","{""ImportId"":""QID24""}","{""ImportId"":""QID98""}","{""ImportId"":""QID26""}","{""ImportId"":""QID99""}","{""ImportId"":""QID28""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID31""}","{""ImportId"":""QID103""}","{""ImportId"":""SC_9o8ZXufbOCxsPS5""}","{""ImportId"":""SC_bOZKvtoBdUxIvuB""}"
2026-04-17 11:53:49,2026-04-17 13:05:07,0,128.223.223.155,100,4277,1,2026-04-17 13:05:08,R_7aFtJK03cxyqpmF,,,,,44.0358,-123.0576,anonymous,EN,Fenn Hentschel,Wolkenstein,041726lm,1,1,4,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,154,77
2026-04-17 13:38:09,2026-04-17 15:11:29,0,128.223.223.155,100,5600,1,2026-04-17 15:11:30,R_5fgJOCjOzpAaETf,,,,,44.0358,-123.0576,anonymous,EN,Fenn Hentschel,Wolkenstein,041726nc,2,3,3,2,3,2,4,4,2,3,3,3,4,3,4,3,2,2,2,3,3,4,3,3,2,2,3,3,3,3,3,4,95,50
2026-04-21 11:05:01,2026-04-21 11:11:31,0,128.223.223.29,100,390,1,2026-04-21 11:11:32,R_10qOjGAKmDzEgos,,,,,44.0358,-123.0576,anonymous,EN,Fenn Hentschel,Wolkenstein,042126mf,4,4,2,2,2,2,2,2,3,1,2,3,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,54,31
2026-04-21 14:58:20,2026-04-21 15:04:42,0,128.223.223.29,100,382,1,2026-04-21 15:04:43,R_6qWdjLInUZDQAg7,,,,,44.0358,-123.0576,anonymous,EN,Fenn Hentschel,Wolkenstein,042126sb,1,2,4,4,4,3,4,4,2,2,3,4,4,3,4,5,4,1,1,4,4,4,2,1,5,2,3,3,4,2,3,4,106,59
2026-04-22 11:00:27,2026-04-22 11:08:23,0,128.223.223.7,100,476,1,2026-04-22 11:08:24,R_1p2MXkOfjEgB8QS,,,,,44.0358,-123.0576,anonymous,EN,Fenn Hentschel,Wolkenstein,042226hb,3,3,2,3,3,4,4,4,3,3,4,3,4,3,2,3,4,3,3,4,4,3,3,3,4,4,4,4,3,2,2,2,103,51
2026-04-28 11:01:40,2026-04-28 11:10:36,0,128.223.223.133,100,535,1,2026-04-28 11:10:37,R_5doflJTjwAJownK,,,,,44.0358,-123.0576,anonymous,EN,Fenn Hentschel,Wolkenstein,042826nf,2,2,3,3,4,3,3,4,3,2,3,3,4,3,3,4,2,4,4,3,4,3,4,3,3,4,4,4,3,4,5,4,111,53
2026-04-28 13:07:23,2026-04-28 13:14:20,0,128.223.223.133,100,417,1,2026-04-28 13:14:21,R_3SI7PqMUwj5stVU,,,,,44.0358,-123.0576,anonymous,EN,Fenn Hentschel,Wolkenstein,042826sc,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,160,80
2026-04-28 14:42:29,2026-04-28 14:49:28,0,128.223.223.133,100,418,1,2026-04-28 14:49:29,R_5338yG7SJ97kCgi,,,,,44.0358,-123.0576,anonymous,EN,Fenn Hentschel,Wolkenstein,042826mp,3,4,1,2,3,3,2,2,2,3,2,2,3,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,73,38
